"","Country","LE.F.95","HALE.F.95","YLD.F.95","LE.F.15","HALE.F.15","YLD.F.15","LE.M.95","HALE.M.95","YLD.M.95","LE.M.15","HALE.M.15","YLD.M.15","DELTA.F.LE","DELTA.F.HALE","DELTA.F.YLD","DELTA.M.LE","DELTA.M.HALE","DELTA.M.YLD"
"1","Bulgaria",74.8,65.848876,8.95112399999999,78.4,68.88132,9.51868,67.4,59.777425,7.622575,71.4,63.338072,8.06192800000001,3.60000000000001,3.032444,0.56755600000001,4,3.560647,0.439353000000004
"2","Croatia",77,67.334621,9.665379,80.9,70.744898,10.155102,69,60.921587,8.078413,74.6,65.865754,8.734246,3.90000000000001,3.41027700000001,0.489722999999998,5.59999999999999,4.94416699999999,0.655833000000001
"3","Czech Republic",77,67.534374,9.465626,81.7,71.406617,10.293383,69.9,61.987768,7.912232,75.9,66.942953,8.957047,4.7,3.872243,0.827757000000005,6,4.955185,1.044815
"4","Hungary",74.8,65.446453,9.35354699999999,79.9,69.756132,10.143868,65.5,58.305083,7.194917,73.2,64.706818,8.493182,5.10000000000001,4.30967899999999,0.79032100000002,7.7,6.401735,1.29826500000001
"5","Poland",76.4,67.127992,9.272008,81.6,71.526919,10.073081,67.6,59.960888,7.639112,73.4,64.964439,8.43556100000001,5.19999999999999,4.398927,0.801072999999988,5.80000000000001,5.003551,0.79644900000001
"6","Romania",73.7,64.759969,8.940031,79,69.44151,9.55849000000001,65.4,58.058212,7.34178800000001,71.5,63.398002,8.101998,5.3,4.681541,0.618459000000001,6.09999999999999,5.33979,0.760209999999994
"7","Slovakia",76.5,67.297696,9.202304,80.9,70.917308,9.982692,68.5,60.569724,7.930276,74,65.211797,8.788203,4.40000000000001,3.619612,0.780388000000002,5.5,4.642073,0.857926999999997
"8","Slovenia",78.3,68.477955,9.822045,83.8,73.205831,10.594169,70.7,62.570711,8.129289,77.9,68.664186,9.235814,5.5,4.72787600000001,0.772123999999991,7.2,6.093475,1.106525
"9","Estonia",74.1,64.563137,9.536863,81.4,71.083353,10.316647,61.5,54.691706,6.808294,73.4,64.885631,8.514369,7.30000000000001,6.520216,0.779784000000006,11.9,10.193925,1.70607500000001
"10","Latvia",73,63.775575,9.224425,79.7,69.627164,10.072836,60.3,53.665124,6.634876,70.6,62.482611,8.117389,6.7,5.85158899999999,0.848411000000013,10.3,8.817487,1.482513
